Year,RCP2.6,RCP4.5,RCP6.0,RCP8.5
2005,66.3,66.3,66.3,66.3
2006,62,62,62,62
2007,57.2,57.3,57.3,57.2
2008,52.9,53,53.1,52.8
2009,48.5,48.8,48.9,48.3
2010,44.1,44.6,44.8,43.9
2011,39.9,40.5,40.8,39.5
2012,35.8,36.4,36.9,35.1
2013,31.9,32.5,33.2,30.7
2014,28.2,28.7,29.7,26.3
2015,24.7,25,26.3,22
2016,21.3,21.3,23.1,17.6
2017,18,17.7,19.9,13.3
2018,14.8,14.2,16.8,8.9
2019,11.6,10.7,13.8,4.6
2020,8.6,7.2,10.9,0.3
2021,5.7,3.8,8,-4
2022,3,0.4,5.2,-8.3
2023,0.6,-2.8,2.3,-12.5
2024,-1.6,-6.1,-0.5,-16.6
2025,-3.6,-9.3,-3.4,-20.7
2026,-5.4,-12.4,-6.2,-24.8
2027,-7.1,-15.5,-9,-28.8
2028,-8.7,-18.5,-11.8,-32.8
2029,-10.1,-21.5,-14.5,-36.8
2030,-11.4,-24.4,-17.3,-40.7
2031,-12.6,-27.3,-20,-44.6
2032,-13.6,-30.1,-22.8,-48.5
2033,-14.6,-32.9,-25.6,-52.4
2034,-15.4,-35.5,-28.4,-56.3
2035,-16.1,-38.1,-31.3,-60.2
2036,-16.7,-40.6,-34.1,-64.1
2037,-17.2,-43,-37,-68
2038,-17.6,-45.4,-39.8,-71.9
2039,-17.9,-47.7,-42.7,-75.8
2040,-18.2,-50,-45.5,-79.6
2041,-18.4,-52.2,-48.4,-83.5
2042,-18.6,-54.4,-51.2,-87.3
2043,-18.8,-56.4,-54,-91.2
2044,-19,-58.4,-56.9,-95
2045,-19.2,-60.3,-59.6,-98.9
2046,-19.4,-62.1,-62.4,-102.8
2047,-19.7,-63.9,-65.2,-106.6
2048,-19.9,-65.6,-67.9,-110.4
2049,-20,-67.2,-70.6,-114.1
2050,-20.2,-68.9,-73.3,-117.9
2051,-20.4,-70.4,-76,-121.6
2052,-20.5,-71.8,-78.7,-125.3
2053,-20.6,-73.1,-81.4,-129.1
2054,-20.7,-74.3,-84.1,-132.9
2055,-20.7,-75.3,-86.7,-136.6
2056,-20.7,-76.3,-89.4,-140.3
2057,-20.7,-77.2,-92,-144
2058,-20.7,-78,-94.6,-147.6
2059,-20.6,-78.7,-97.2,-151.3
2060,-20.5,-79.4,-99.8,-154.9
2061,-20.3,-80,-102.4,-158.4
2062,-20.2,-80.5,-105,-161.9
2063,-20.1,-81,-107.5,-165.3
2064,-19.9,-81.4,-110,-168.6
2065,-19.8,-81.7,-112.5,-171.9
2066,-19.6,-81.9,-115,-175.1
2067,-19.4,-82.1,-117.5,-178.3
2068,-19.2,-82.2,-120,-181.4
2069,-19,-82.3,-122.5,-184.4
2070,-18.8,-82.4,-124.9,-187.4
2071,-18.6,-82.4,-127.4,-190.4
2072,-18.4,-82.3,-129.8,-193.3
2073,-18.2,-82.2,-132.2,-196.1
2074,-18,-82,-134.5,-198.9
2075,-17.8,-81.7,-136.7,-201.5
2076,-17.7,-81.4,-138.9,-204.2
2077,-17.6,-81,-141.1,-206.7
2078,-17.4,-80.6,-143.2,-209.3
2079,-17.3,-80.1,-145.3,-211.8
2080,-17.1,-79.5,-147.3,-214.2
2081,-17,-79,-149.3,-216.6
2082,-16.9,-78.5,-151.1,-219
2083,-16.8,-78.2,-152.6,-221.3
2084,-16.8,-77.9,-154,-223.5
2085,-16.7,-77.7,-155.2,-225.7
2086,-16.6,-77.5,-156.2,-227.9
2087,-16.6,-77.4,-157.1,-230
2088,-16.6,-77.4,-157.9,-232.1
2089,-16.5,-77.4,-158.5,-234.1
2090,-16.5,-77.5,-159.1,-236.1
2091,-16.5,-77.5,-159.6,-238.1
2092,-16.5,-77.7,-160.1,-240
2093,-16.5,-77.8,-160.7,-241.9
2094,-16.5,-77.9,-161.3,-243.8
2095,-16.6,-78.1,-161.9,-245.7
2096,-16.6,-78.3,-162.5,-247.5
2097,-16.7,-78.5,-163.1,-249.3
2098,-16.7,-78.8,-163.8,-251.1
2099,-16.8,-79.1,-164.4,-252.8
2100,-16.8,-79.3,-165.1,-254.5
